Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
00000008,03,01,00000008,PROSPECT,OST-GhostShop,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000000E2,01,01,000000E2,PROSPECT,068-MADRID - LA OCA,1st APPS,OPORTUNIDAD POTENCIAL
000000G7,01,01,000000G7,CUSTOMER,010-PALMA - SINDICATO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000001AR,01,,000001AR,PROSPECT,049-BADALONA - MAR,1st APPS,OPORTUNIDAD POTENCIAL
000001B2,01,,000001B2,PROSPECT,121-BARCELONA - GRAN DE SANT ANDREU 2,1st APPS,OPORTUNIDAD POTENCIAL
000002PD,01,,000002PD,LEAD,216-CIUDAD REAL,1st APPS,OPORTUNIDAD POTENCIAL
00000509,01,,00000509,CUSTOMER,114-ALCOBENDAS,1st APPS,OPORTUNIDAD POTENCIAL
0000056H,01,,0000056H,PROSPECT,030-DONOSTIA-SAN SEBASTIAN - LEGAZPI,1st APPS,OPORTUNIDAD POTENCIAL
0000074T,01,01,0000074T,PROSPECT,015-VIGO - CAMELIAS,1st APPS,OPORTUNIDAD POTENCIAL
000007F9,01,01,000007F9,PROSPECT,011-MANACOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000007YA,01,01,000007YA,PROSPECT,175-MIRANDA DE EBRO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000007YA,01,01,000007YA,PROSPECT,175-MIRANDA DE EBRO,Pre-Sales,CIERRE DE LA PRUEBA
000007YA,01,01,000007YA,PROSPECT,175-MIRANDA DE EBRO,Pre-Sales,ENTREGA DE LA PRUEBA
000007YA,01,01,000007YA,PROSPECT,175-MIRANDA DE EBRO,Pre-Sales,ENTREGA DE LA VENTA
00000AT3,01,01,00000AT3,PROSPECT,148-GIJON/XIXON - CORRIDA,1st APPS,OPORTUNIDAD POTENCIAL
00000BDL,01,,00000BDL,PROSPECT,125-BARCELONA - VIA JULIA,1st APPS,OPORTUNIDAD POTENCIAL
00000BMA,01,,00000BMA,CUSTOMER,048-MOSTOLES - CONSTITUCIÓN,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000C2E,01,,00000C2E,PROSPECT,161-ZAMORA - TRES CRUCES,1st APPS,OPORTUNIDAD POTENCIAL
00000CJP,01,,00000CJP,CUSTOMER,007-ZARAGOZA - SAN MIGUEL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000FD2,01,,00000FD2,LEAD,081-ALCORCON - MAYOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000FNO,01,01,00000FNO,PROSPECT,181-TERUEL - RAMON Y CAJAL 2,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000FNO,01,01,00000FNO,PROSPECT,181-TERUEL - RAMON Y CAJAL 2,Pre-Sales,ENTREGA DE LA VENTA
00000G89,01,,00000G89,LEAD,216-CIUDAD REAL,1st APPS,EXAMEN TELEMARKETING LE
00000HR2,01,01,00000HR2,LEAD,008-VALENCIA - ESCULPTOR CAPUZ,Pre-Sales,2° CONTROL PRUEBA
00000HR2,01,01,00000HR2,LEAD,008-VALENCIA - ESCULPTOR CAPUZ,Pre-Sales,3° CONTROL PRUEBA
00000HR2,01,01,00000HR2,LEAD,008-VALENCIA - ESCULPTOR CAPUZ,Pre-Sales,CIERRE DE LA PRUEBA
00000HZP,01,,00000HZP,PROSPECT,086-SEGOVIA,1st APPS,OPORTUNIDAD POTENCIAL
00000I4V,01,,00000I4V,LEAD,009-TARRAGONA,1st APPS,EXAMEN TELEMARKETING LE
00000JIP,01,01,00000JIP,CUSTOMER,177-PONFERRADA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000K8P,01,,00000K8P,PROSPECT,185-MOLLET DEL VALLES,1st APPS,OPORTUNIDAD POTENCIAL
00000L8O,01,01,00000L8O,LEAD,015-VIGO - CAMELIAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000PKT,01,01,00000PKT,CUSTOMER,126-TERRASSA - DE LA RASA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000PV9,01,,00000PV9,PROSPECT,177-PONFERRADA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000Q86,01,01,00000Q86,LEAD,045-GIRONA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000RUJ,01,,00000RUJ,LEAD,171-MARTORELL - JOAN MARAGALL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000SHF,01,01,00000SHF,LEAD,169-ALCOY/ALCOI,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000SLN,01,01,00000SLN,PROSPECT,089-BARCELONA - GAUDI,Pre-Sales,ENTREGA DE LA PRUEBA
00000ST6,01,,00000ST6,PROSPECT,036-VITORIA-GASTEIZ - SAN PRUDENCIO,1st APPS,OPORTUNIDAD POTENCIAL
00000U0V,01,01,00000U0V,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000U6U,01,01,00000U6U,PROSPECT,170-VALLADOLID - MANTERIA,1st APPS,OPORTUNIDAD POTENCIAL
00000UFK,01,,00000UFK,PROSPECT,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
00000UGN,01,01,00000UGN,CUSTOMER,053-MERIDA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000VPD,01,01,00000VPD,CUSTOMER,086-SEGOVIA,Pre-Sales,CIERRE DE LA PRUEBA
00000VPD,01,,00000VPD,CUSTOMER,086-SEGOVIA,Pre-Sales,ENTREGA DE LA PRUEBA
00000WM2,01,,00000WM2,CUSTOMER,119-JEREZ DE LA FRONTERA - LANCERÍA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000WYA,01,,00000WYA,CUSTOMER,126-TERRASSA - DE LA RASA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
